ES,GD
[90948.35965277],422163131490.1161
[90948.35965277],420734521982.34436
[90128.77859008],419309541382.4369
[89746.53405105],417888183539.8263
[89746.53405105],416470442309.1632
[88739.90657511],415056311550.3117
[88739.90657511],413645785128.354
[88739.90657511],412238856913.5887
[88739.90657511],410835520781.5316
[88739.90657511],409435770612.916
[88739.90657511],408039600293.6897
[88620.68117496],406647003715.0183
[88620.68117496],405257974773.2851
[88620.68117496],403872507370.0881
[88620.68117496],402490595412.2424
[88620.68117496],401112232811.7815
[87545.3051312],399737413485.95306
[87545.3051312],398366131357.22327
[87545.3051312],396998380353.2742
[87545.3051312],395634154407.005
[87545.3051312],394273447456.53
[87545.3051312],392916253445.18274
[87545.3051312],391562566321.5127
[87545.3051312],390212380039.2842
[87545.3051312],388865688557.4794
[87545.3051312],387522485840.2973
[87545.3051312],386182765857.15436
[87502.31924546],384846522582.6818
[87502.31924546],383513749996.7287
[87502.31924546],382184442084.3605
[87502.31924546],380858592835.8593
[87502.31924546],379536196246.72424
[87502.31924546],378217246317.6709
[87502.31924546],376901737054.6313
[87502.31924546],375589662468.75385
[87502.31924546],374281016576.40533
[87502.31924546],372975793399.16724
[87282.75921342],371673986963.8375
[87282.75921342],370375591302.4329
[87282.75921342],369080600452.1849
[87282.75921342],367789008455.5428
[87282.75921342],366500809360.1718
[86178.56609263],365215997218.95386
[83991.5610092],363934566089.9891
[83991.5610092],362656510036.5912
[83991.5610092],361381823127.2933
[83991.5610092],360110499435.8441
[83991.5610092],358842533041.2096
[83991.5610092],357577918027.5713
[83991.5610092],356316648484.3272
[80182.19240221],355058718506.0946
[80182.19240221],353804122192.705
[80182.19240221],352552853649.20605
[78703.6647459],351304906985.8651
[78703.6647459],350060276318.16254
[78703.6647459],348818955766.7984
[78703.6647459],347580939457.68787
[78703.6647459],346346221521.9632
[78703.6647459],345114796095.9725
[78703.6647459],343886657321.2821
[78703.6647459],342661799344.67346
[78703.6647459],341440216318.1453
[77869.18854065],340221902398.914
[77869.18854065],339006851749.41095
[77869.18854065],337795058537.28534
[77586.08088743],336586516935.4021
[76690.93772707],335381221121.8437
[76690.93772707],334179165279.9091
[76690.93772707],332980343598.1133
[76690.93772707],331784750270.18854
[76690.93772707],330592379495.08405
[76690.93772707],329403225476.96454
[76690.93772707],328217282425.21246
[76690.93772707],327034544554.4264
[76690.93772707],325855006084.4223
[76690.93772707],324678661240.23254
[76690.93772707],323505504252.1044
[76690.93772707],322335529355.5045
[76690.93772707],321168730791.11456
[76690.93772707],320005102804.8335
[74730.98682258],318844639647.7766
[74730.98682258],317687335576.27606
[74730.98682258],316533184851.88086
[74730.98682258],315382181741.3557
[74730.98682258],314234320516.68304
[74730.98682258],313089595455.06226
[74730.98682258],311948000838.9081
[74730.98682258],310809530955.8523
[74730.98682258],309674180098.74396
[74730.98682258],308541942565.6489
[74730.98682258],307412812659.84875
[74730.98682258],306286784689.8426
[74730.98682258],305163852969.34515
[74730.98682258],304044011817.28906
[74519.09439996],302927255557.8231
[74519.09439996],301813578520.31256
[74519.09439996],300702975039.33875
[74419.08557375],299595439454.7018
[74419.08557375],298490966111.4154
[74419.08557375],297389549359.7132
[74017.98643718],296291183555.0434
[74017.98643718],295195863058.0705
[73736.85084754],294103582234.6778
[73736.85084754],293014335455.9635
[73736.85084754],291928117098.2426
[73736.85084754],290844921543.0475
[73736.85084754],289764743177.1274
[73736.85084754],288687576392.447
[73736.85084754],287613415586.1879
[73736.85084754],286542255160.75037
[73714.80618798],285474089523.7482
[73252.30467041],284408913088.01404
[73252.30467041],283346720271.59625
[73252.30467041],282287505497.76056
[73252.30467041],281231263194.989
[73252.30467041],280177987796.98065
[73252.30467041],279127673742.64996
[73252.30467041],278080315476.12933
[73252.30467041],277035907446.7674
[73252.30467041],275994444109.1296
[73252.30467041],274955919922.9982
[72821.59868235],273920329353.371
